Budget;LongueurMin;ValeurMax;Moyenne
3244;154;1.58813;1.22791
3485;163;1.67701;1.27074
3485;163;1.67701;1.27607
3485;163;1.67701;1.28287
3485;163;1.67701;1.34236
3485;163;1.67701;1.37421
3485;163;1.67701;1.38855
3460;163;1.67722;1.40078
3460;163;1.67722;1.4003
3456;163;1.67725;1.40896
3456;163;1.67725;1.41763
3456;163;1.67725;1.44837
3395;170;1.74856;1.47576
3293;172;1.76969;1.50515
3293;172;1.76969;1.54032
3293;172;1.76969;1.56645
3293;172;1.76969;1.57733
3293;172;1.76969;1.57493
3293;172;1.76969;1.57444
3190;172;1.77067;1.57763
3190;172;1.77067;1.60279
3190;172;1.77067;1.61359
3190;172;1.77067;1.625
3155;172;1.77102;1.63483
3126;172;1.77132;1.63725
3126;172;1.77132;1.63741
3126;172;1.77132;1.64155
3126;172;1.77132;1.65101
3126;172;1.77132;1.66725
3108;172;1.7715;1.67291
3094;172;1.77165;1.67217
3094;172;1.77165;1.69489
3094;172;1.77165;1.69826
3094;172;1.77165;1.70376
3094;172;1.77165;1.70409
3094;172;1.77165;1.71816
3094;172;1.77165;1.71907
3094;172;1.77165;1.71835
3056;172;1.77205;1.71356
3056;172;1.77205;1.71708
2983;172;1.77285;1.72201
2983;172;1.77285;1.73129
2983;172;1.77285;1.72475
2960;172;1.77311;1.72451
2798;172;1.77507;1.73075
2798;172;1.77507;1.73664
2798;172;1.77507;1.73624
2798;172;1.77507;1.73737
2798;172;1.77507;1.74509
2798;172;1.77507;1.74253
2798;172;1.77507;1.73894
2798;172;1.77507;1.7368
2798;172;1.77507;1.73069
2798;172;1.77507;1.74153
2798;172;1.77507;1.74066
2798;172;1.77507;1.7408
2704;172;1.77631;1.73339
2704;172;1.77631;1.74272
2704;172;1.77631;1.75619
2704;172;1.77631;1.7496
2704;172;1.77631;1.74153
2704;172;1.77631;1.74201
2704;172;1.77631;1.74295
2704;172;1.77631;1.75259
2704;172;1.77631;1.75609
2704;172;1.77631;1.75272
2704;172;1.77631;1.75338
2704;172;1.77631;1.75078
2704;172;1.77631;1.75359
2704;172;1.77631;1.75792
2704;172;1.77631;1.75997
2704;172;1.77631;1.76273
2704;172;1.77631;1.76644
2704;172;1.77631;1.76617
2704;172;1.77631;1.76868
2704;172;1.77631;1.76929
2696;172;1.77642;1.7676
2696;172;1.77642;1.76925
2696;172;1.77642;1.76827
2672;172;1.77675;1.76659
2672;172;1.77675;1.76525
2664;172;1.77686;1.7627
2664;172;1.77686;1.75929
2664;172;1.77686;1.75768
2664;172;1.77686;1.75991
2664;172;1.77686;1.76258
2664;172;1.77686;1.76572
2664;172;1.77686;1.7632
2664;172;1.77686;1.76275
2664;172;1.77686;1.76762
2664;172;1.77686;1.76718
2664;172;1.77686;1.7642
2664;172;1.77686;1.76843
2664;172;1.77686;1.76744
2664;172;1.77686;1.76529
2664;172;1.77686;1.76969
2649;172;1.77708;1.76973
2649;172;1.77708;1.77379
2649;172;1.77708;1.77389
2649;172;1.77708;1.77374
