QIYFLXHYNAMMLWMACKLYYHYKYIXMCLSEDQLOLYDQGXWSXBYEHMCVUBWEDXUKZICHUMPSYVYKLWDALLQETXUBYHFZWHUGLYHXYZPAOBHQYQLOLNLUOGJEOQUNMETDYWLGSQTSHHTSPHSXLULXSIAGFEVGPENFHVBGLHJOXMCLFEWMLNWXFDYWLWEAWDJEXZYXLIPDPXASFFYLJIWXYLXYTBIKAIYFFTMVLZAXSEVMNXTSDEWTTRPQYXLVGQFXYSFSYECVPEWXZXQUHBTETZNXUEYFWXZXWQAEVWDOUFUIPQYXYZPFINAIDOYESIDCOBYIYFLXUXOMHLSIUQUGZPTYYGAETXFXJEXZYXLIPDPXSEDQOELZFQMNYPPENKPRRFYWVRYQYGCMPPYELWLNUMAVPEWALMDEYWLZLZNELGWGVOPTJMJELMYPYEHQMALZOMYUGHPNLDLBCIDGLFVRGQMIHSYYYWPXEGLXUXCQMIHWXMCLHQYQLOLNPZNKLGSQTPLWEAHNUIMXIGKEDEYTBXWBBHUIXQXBANAQOQCSFEUBKICZIGQIGAOLHMAMMLVRYQFELQYQLOLQZZXBLYBGYESIXZYKCIAGVEPGTFCGYILPCGCIYFYWICEQUWZTFNFBJMEUHKLEOUHOLREQXUFXPMXLQETNOELQZVCMVEFYCESMLDXTPVPPUGZPPOUKYNLUNHBXGAGBWECFYKYIUMCILVOGGHUXTOEXATZGLELZPENBHMCQDXAVZGPXWEDPYMHBTMWAJIDFFTNYPDLXJEXZYXLIPDPXASFFYLJIWXYLXYTBIKAIYFFTMVLZAXSEVMNXTSDEWTTRPQYXLVGQFXYSFSYECVPEWXZXQUHBTETZNXUEYFWXZXWQAEVWDOUFUIPQYXYZPFINAIDOYESIDCOBISTHYGAPPOBTTTLSHXYSDOUFUIPQYXYZPBINYSFNFBLVBGYGQMXYSVOSZANTZQLXUNETTQXLJEXZYKCIEAOLJIDSYGZUFUZHUXWMKNLYPOBXGPLPOKLXZGNTWSFDXXZQLOUKVRDYUBZFZZCEWECMCMXYTXMLVRENIGZGLYHXLIPQLOLXZGNXZGPXFXZUFUXTUWPZNLBVWQXTUGPRFHVVNAGFLHPEJKPRNQMLLWNMGGLIPQYKCIDUNTZPLNFTJONMLWLLMMBMBZPDLTZPPGLLMIDEYLJEXZYXLIPDPXASFFYLJIWXYLJSXYYMVMBGCVVYEQHMIILGWHBTEDIIMSCFFTTYDUKNLGLYHXLIPQLOLQZUDXTSYFYELWGACKLXUQFXBVOUMTCINXYVYMNMGGLVGQ
A;36
B;36
C;34
D;39
E;72
F;57
G;56
H;39
I;58
J;18
K;22
L;107
M;56
N;44
O;37
P;64
Q;55
R;12
S;39
T;50
U;51
V;38
W;47
X;98
Y;100
Z;53
